Player,Country,Pos,Birthday,Age,Caps,Club,Club Country,year
Walter Martínez,honduras,FW,1982-03-29,28,34,Marathón,honduras,2010
Mauricio Sabillón,honduras,DF,1978-11-11,31,25,Hangzhou Greentown,china pr,2010
Edgar Álvarez,honduras,MF,1980-01-09,30,46,Bari,italy,2010
Noel Valladares,honduras,GK,1977-05-03,33,71,Olimpia,honduras,2010
Danilo Turcios,honduras,MF,1978-05-08,32,82,Olimpia,honduras,2010
Amado Guevara,honduras,MF,1976-05-02,34,133,Motagua,honduras,2010
Emilio Izaguirre,honduras,DF,1986-05-10,24,39,Motagua,honduras,2010
Donis Escober,honduras,GK,1980-02-03,30,11,Olimpia,honduras,2010
Sergio Mendoza,honduras,DF,1981-05-23,29,46,Motagua,honduras,2010
Iker Casillas,spain,GK,1981-05-20,29,104,Real Madrid,spain,2010
Raúl Albiol,spain,DF,1985-09-04,24,23,Real Madrid,spain,2010
Gerard Piqué,spain,DF,1987-02-02,23,16,Barcelona,spain,2010
Carlos Marchena,spain,DF,1979-07-31,30,59,Valencia,spain,2010
Carles Puyol,spain,DF,1978-04-13,32,83,Barcelona,spain,2010
Andrés Iniesta,spain,MF,1984-05-11,26,43,Barcelona,spain,2010
David Villa,spain,FW,1981-12-03,28,58,Valencia,spain,2010
Xavi,spain,MF,1980-01-25,30,87,Barcelona,spain,2010
Fernando Torres,spain,FW,1984-03-20,26,73,Liverpool,england,2010
Cesc Fàbregas,spain,MF,1987-05-04,23,49,Arsenal,england,2010
Joan Capdevila,spain,DF,1978-02-03,32,46,Villarreal,spain,2010
Víctor Valdés,spain,GK,1982-01-14,28,1,Barcelona,spain,2010
Juan Mata,spain,MF,1988-04-28,22,8,Valencia,spain,2010
Xabi Alonso,spain,MF,1981-11-25,28,69,Real Madrid,spain,2010
Sergio Ramos,spain,DF,1986-03-30,24,60,Real Madrid,spain,2010
Sergio Busquets,spain,MF,1988-07-16,21,13,Barcelona,spain,2010
Álvaro Arbeloa,spain,DF,1983-01-17,27,15,Real Madrid,spain,2010
Pedro,spain,FW,1987-07-28,22,3,Barcelona,spain,2010
Fernando Llorente,spain,FW,1985-02-26,25,7,Athletic Bilbao,spain,2010
Javi Martínez,spain,MF,1988-09-02,21,2,Athletic Bilbao,spain,2010
David Silva,spain,MF,1986-01-08,24,36,Valencia,spain,2010
Jesús Navas,spain,MF,1985-11-21,24,6,Sevilla,spain,2010
Pepe Reina,spain,GK,1982-08-31,27,20,Liverpool,england,2010
Diego Benaglio,switzerland,GK,1983-09-08,26,27,VfL Wolfsburg,germany,2010
Stephan Lichtsteiner,switzerland,DF,1984-01-16,26,28,Lazio,italy,2010
Ludovic Magnin,switzerland,DF,1979-04-20,31,62,Zürich,switzerland,2010
Philippe Senderos,switzerland,DF,1985-02-14,25,40,Everton,england,2010
Steve von Bergen,switzerland,DF,1983-06-10,27,11,Hertha BSC,germany,2010
Benjamin Huggel,switzerland,MF,1977-07-07,32,38,Basel,switzerland,2010
Tranquillo Barnetta,switzerland,MF,1985-05-22,25,52,Bayer Leverkusen,germany,2010
Gökhan Inler,switzerland,MF,1984-06-27,25,36,Udinese,italy,2010
Alexander Frei,switzerland,FW,1979-07-15,30,75,Basel,switzerland,2010
Blaise Nkufo,switzerland,FW,1975-05-25,35,31,Twente,netherlands,2010
Valon Behrami,switzerland,MF,1985-04-19,25,27,West Ham United,england,2010
Marco Wölfli,switzerland,GK,1982-08-22,27,5,Young Boys,switzerland,2010
Stéphane Grichting,switzerland,DF,1979-03-30,31,35,Auxerre,france,2010
Marco Padalino,switzerland,MF,1983-12-08,26,8,Sampdoria,italy,2010
Hakan Yakin,switzerland,MF,1977-02-22,33,81,Luzern,switzerland,2010
Gélson Fernandes,switzerland,MF,1986-09-02,23,24,Saint-Étienne,france,2010
Reto Ziegler,switzerland,DF,1986-01-16,24,12,Sampdoria,italy,2010
Albert Bunjaku,switzerland,FW,1983-11-29,26,3,1. FC Nürnberg,germany,2010
Eren Derdiyok,switzerland,FW,1988-06-12,21,21,Bayer Leverkusen,germany,2010
Pirmin Schwegler,switzerland,MF,1987-03-09,23,4,Eintracht Frankfurt,germany,2010
Johnny Leoni,switzerland,GK,1984-06-30,25,0,Zürich,switzerland,2010
Mario Eggimann,switzerland,DF,1981-01-24,29,8,Hannover 96,germany,2010
Xherdan Shaqiri,switzerland,MF,1991-10-10,18,3,Basel,switzerland,2010
