team,date,bup_speed,bup_dribbling,bup_passing,cc_passing,cc_crossing,cc_shooting,d_pressure,d_aggresion,d_width
Russia,2017-04-10 00:00:00+00:00,45,35.0,39,60,55,33,30,33,55
Mexico,2017-04-10 00:00:00+00:00,53,67.0,54,68,58,37,46,58,58
Uruguay,2017-04-10 00:00:00+00:00,36,52.0,55,51,34,37,44,56,38
Greece,2017-04-10 00:00:00+00:00,55,40.0,60,60,63,62,35,56,33
Croatia,2017-04-10 00:00:00+00:00,51,58.0,51,52,58,58,49,52,58
Cameroon,2017-04-10 00:00:00+00:00,40,53.0,31,58,68,50,57,54,53
Serbia,2017-04-10 00:00:00+00:00,50,32.0,52,56,32,44,44,56,44
Australia,2017-04-10 00:00:00+00:00,34,36.0,35,47,65,35,68,69,65
Switzerland,2017-04-10 00:00:00+00:00,62,51.0,52,59,59,43,51,45,52
Sweden,2017-04-10 00:00:00+00:00,49,55.0,45,43,64,37,42,59,52
Republic of Ireland,2017-04-10 00:00:00+00:00,45,49.0,48,40,50,50,40,40,40
Korea Republic,2017-04-10 00:00:00+00:00,50,77.0,49,43,77,66,44,43,66
Belgium,2017-04-10 00:00:00+00:00,41,55.0,38,36,33,46,58,56,50
United States,2017-04-10 00:00:00+00:00,51,32.0,46,54,49,36,54,63,43
Norway,2017-04-10 00:00:00+00:00,63,52.0,59,68,52,61,33,47,51
Paraguay,2017-04-10 00:00:00+00:00,33,52.0,52,33,32,48,33,45,50
Ukraine,2017-04-10 00:00:00+00:00,55,0.0,70,65,70,70,55,70,60
Poland,2017-04-10 00:00:00+00:00,55,51.0,35,36,47,56,37,56,51
Bulgaria,2017-04-10 00:00:00+00:00,54,52.0,54,62,63,33,48,34,45
Finland,2017-04-10 00:00:00+00:00,56,35.0,48,47,53,53,33,35,50
Scotland,2017-04-10 00:00:00+00:00,40,48.0,45,40,55,55,40,50,45
Romania,2017-04-10 00:00:00+00:00,55,45.0,50,45,65,35,40,45,50
Austria,2017-04-10 00:00:00+00:00,61,70.0,48,61,54,66,54,63,58
Wales,2017-04-10 00:00:00+00:00,60,33.0,44,53,46,40,48,53,63
Slovenia,2017-04-10 00:00:00+00:00,61,51.0,53,66,67,55,50,41,64
Ecuador,2017-04-10 00:00:00+00:00,50,69.0,64,65,50,50,35,45,35
Tunisia,2017-04-10 00:00:00+00:00,72,75.0,68,79,35,79,44,69,49
Northern Ireland,2017-04-10 00:00:00+00:00,57,51.0,55,50,45,62,40,50,60
Hungary,2017-04-10 00:00:00+00:00,61,47.0,53,62,62,39,47,45,65
China PR,2017-04-10 00:00:00+00:00,61,47.0,48,37,53,39,49,51,41
Netherlands,2017-04-10 00:00:00+00:00,45,29.0,37,55,52,39,48,50,52
Czech Republic,2017-04-10 00:00:00+00:00,47,51.0,50,53,56,52,47,44,66
South Africa,2017-04-10 00:00:00+00:00,39,68.0,37,51,66,57,55,45,47
New Zealand,2017-04-10 00:00:00+00:00,69,40.0,70,76,40,69,74,60,50
Côte d'Ivoire,2017-04-10 00:00:00+00:00,66,51.0,49,59,73,53,55,51,46
Chile,2017-04-10 00:00:00+00:00,64,49.0,38,63,42,64,59,65,53
Colombia,2017-04-10 00:00:00+00:00,50,68.0,49,50,50,65,45,55,50
Peru,2017-04-10 00:00:00+00:00,50,69.0,64,65,50,50,35,45,35
Egypt,2017-04-10 00:00:00+00:00,54,60.0,55,46,53,65,37,37,55
Venezuela,2017-04-10 00:00:00+00:00,32,50.0,33,32,38,32,33,44,37
Bolivia,2017-04-10 00:00:00+00:00,48,55.0,62,66,32,37,34,45,40
India,2017-04-10 00:00:00+00:00,35,49.0,51,53,36,55,33,37,37
Canada,2017-04-10 00:00:00+00:00,50,50.0,50,35,50,50,55,55,50
Saudi Arabia,2017-04-10 00:00:00+00:00,69,68.0,66,72,48,73,44,42,63
Iceland,2017-04-10 00:00:00+00:00,52,49.0,51,67,49,33,47,47,33
Morocco,2017-04-10 00:00:00+00:00,38,52.0,38,38,58,58,43,34,68
Senegal,2017-04-10 00:00:00+00:00,51,53.0,51,59,53,48,48,59,48
Japan,2017-04-10 00:00:00+00:00,70,65.0,69,61,65,80,66,55,35
Iran,2017-04-10 00:00:00+00:00,69,67.0,69,47,37,67,26,25,22
Costa Rica,2017-04-10 00:00:00+00:00,49,36.0,52,50,76,39,43,50,39
Panama,2017-04-10 00:00:00+00:00,49,31.0,50,37,31,47,74,71,61
Brazil,2017-04-06 00:00:00+00:00,62,70.0,48,57,42,54,61,37,42
England,2017-04-06 00:00:00+00:00,54,36.0,56,56,67,51,43,47,51
Italy,2017-04-06 00:00:00+00:00,52,30.0,54,42,60,42,34,44,34
Spain,2017-04-06 00:00:00+00:00,41,44.0,38,38,41,57,41,45,59
France,2017-04-06 00:00:00+00:00,52,59.0,36,49,57,52,52,55,52
Germany,2017-04-06 00:00:00+00:00,63,29.0,42,48,48,63,52,58,54
Argentina,2017-04-06 00:00:00+00:00,32,70.0,39,34,36,68,60,64,50
Portugal,2017-04-06 00:00:00+00:00,57,55.0,34,34,52,48,47,47,63
Turkey,2017-04-06 00:00:00+00:00,40,55.0,50,58,45,58,45,50,45
Nigeria,2017-04-06 00:00:00+00:00,68,75.0,71,79,55,74,58,75,65
Denmark,2017-04-06 00:00:00+00:00,55,48.0,56,46,58,50,66,55,57
Russia,2017-04-06 00:00:00+00:00,45,35.0,39,60,55,33,30,33,55
Mexico,2017-04-06 00:00:00+00:00,53,67.0,54,68,58,37,46,58,58
Uruguay,2017-04-06 00:00:00+00:00,36,52.0,55,51,34,37,44,56,38
Greece,2017-04-06 00:00:00+00:00,55,40.0,60,60,63,62,35,56,33
Croatia,2017-04-06 00:00:00+00:00,51,58.0,51,52,58,58,49,52,58
Cameroon,2017-04-06 00:00:00+00:00,40,53.0,31,58,68,50,57,54,53
Serbia,2017-04-06 00:00:00+00:00,50,32.0,52,56,32,44,44,56,44
Australia,2017-04-06 00:00:00+00:00,34,36.0,35,47,65,35,68,69,65
Switzerland,2017-04-06 00:00:00+00:00,62,51.0,52,59,59,43,51,45,52
Sweden,2017-04-06 00:00:00+00:00,49,55.0,45,43,64,37,42,59,52
Republic of Ireland,2017-04-06 00:00:00+00:00,45,49.0,48,40,50,50,40,40,40
Korea Republic,2017-04-06 00:00:00+00:00,50,77.0,49,43,77,66,44,43,66
Belgium,2017-04-06 00:00:00+00:00,41,55.0,38,36,33,46,58,56,50
United States,2017-04-06 00:00:00+00:00,51,32.0,46,54,49,36,54,63,43
Norway,2017-04-06 00:00:00+00:00,63,52.0,59,68,52,61,33,47,51
Paraguay,2017-04-06 00:00:00+00:00,33,52.0,52,33,32,48,33,45,50
Ukraine,2017-04-06 00:00:00+00:00,55,0.0,70,65,70,70,55,70,60
Poland,2017-04-06 00:00:00+00:00,55,51.0,35,36,47,56,37,56,51
Bulgaria,2017-04-06 00:00:00+00:00,54,52.0,54,62,63,33,48,34,45
Finland,2017-04-06 00:00:00+00:00,56,35.0,48,47,53,53,33,35,50
Scotland,2017-04-06 00:00:00+00:00,40,48.0,45,40,55,55,40,50,45
Romania,2017-04-06 00:00:00+00:00,55,45.0,50,45,65,35,40,45,50
Austria,2017-04-06 00:00:00+00:00,61,70.0,48,61,54,66,54,63,58
Wales,2017-04-06 00:00:00+00:00,60,33.0,44,53,46,40,48,53,63
Slovenia,2017-04-06 00:00:00+00:00,61,51.0,53,66,67,55,50,41,64
Ecuador,2017-04-06 00:00:00+00:00,50,69.0,64,65,50,50,35,45,35
Tunisia,2017-04-06 00:00:00+00:00,72,75.0,68,79,35,79,44,69,49
Northern Ireland,2017-04-06 00:00:00+00:00,57,51.0,55,50,45,62,40,50,60
Hungary,2017-04-06 00:00:00+00:00,61,47.0,53,62,62,39,47,45,65
China PR,2017-04-06 00:00:00+00:00,61,47.0,48,37,53,39,49,51,41
Netherlands,2017-04-06 00:00:00+00:00,45,29.0,37,55,52,39,48,50,52
Czech Republic,2017-04-06 00:00:00+00:00,47,51.0,50,53,56,52,47,44,66
South Africa,2017-04-06 00:00:00+00:00,39,68.0,37,51,66,57,55,45,47
New Zealand,2017-04-06 00:00:00+00:00,69,40.0,70,76,40,69,74,60,50
Côte d'Ivoire,2017-04-06 00:00:00+00:00,66,51.0,49,59,73,53,55,51,46
Chile,2017-04-06 00:00:00+00:00,64,49.0,38,63,42,64,59,65,53
Colombia,2017-04-06 00:00:00+00:00,50,68.0,49,50,50,65,45,55,50
Peru,2017-04-06 00:00:00+00:00,50,69.0,64,65,50,50,35,45,35
Egypt,2017-04-06 00:00:00+00:00,54,60.0,55,46,53,65,37,37,55
Venezuela,2017-04-06 00:00:00+00:00,32,50.0,33,32,38,32,33,44,37
Bolivia,2017-04-06 00:00:00+00:00,48,55.0,62,66,32,37,34,45,40
India,2017-04-06 00:00:00+00:00,35,49.0,51,53,36,55,33,37,37
Canada,2017-04-06 00:00:00+00:00,50,50.0,50,35,50,50,55,55,50
Saudi Arabia,2017-04-06 00:00:00+00:00,69,68.0,66,72,48,73,44,42,63
Iceland,2017-04-06 00:00:00+00:00,52,49.0,51,67,49,33,47,47,33
Morocco,2017-04-06 00:00:00+00:00,38,52.0,38,38,58,58,43,34,68
Senegal,2017-04-06 00:00:00+00:00,51,53.0,51,59,53,48,48,59,48
Japan,2017-04-06 00:00:00+00:00,70,65.0,69,61,65,80,66,55,35
Iran,2017-04-06 00:00:00+00:00,69,67.0,69,47,37,67,26,25,22
Costa Rica,2017-04-06 00:00:00+00:00,49,36.0,52,50,76,39,43,50,39
Panama,2017-04-06 00:00:00+00:00,49,31.0,50,37,31,47,74,71,61
Brazil,2017-04-03 00:00:00+00:00,62,70.0,48,57,42,54,61,37,42
England,2017-04-03 00:00:00+00:00,54,36.0,56,56,67,51,43,47,51
Italy,2017-04-03 00:00:00+00:00,52,30.0,54,42,60,42,34,44,34
Spain,2017-04-03 00:00:00+00:00,41,44.0,38,38,41,57,41,45,59
France,2017-04-03 00:00:00+00:00,52,59.0,36,49,57,52,52,55,52
Germany,2017-04-03 00:00:00+00:00,63,29.0,42,48,48,63,52,58,54
Argentina,2017-04-03 00:00:00+00:00,32,70.0,39,34,36,68,60,64,50
Portugal,2017-04-03 00:00:00+00:00,57,55.0,34,34,52,48,47,47,63
Turkey,2017-04-03 00:00:00+00:00,40,55.0,50,58,45,58,45,50,45
Nigeria,2017-04-03 00:00:00+00:00,68,75.0,71,79,55,74,58,75,65
Denmark,2017-04-03 00:00:00+00:00,55,48.0,56,46,58,50,66,55,57
Russia,2017-04-03 00:00:00+00:00,45,35.0,39,60,55,33,30,33,55
Mexico,2017-04-03 00:00:00+00:00,53,67.0,54,68,58,37,46,58,58
Uruguay,2017-04-03 00:00:00+00:00,36,52.0,55,51,34,37,44,56,38
Greece,2017-04-03 00:00:00+00:00,55,40.0,60,60,63,62,35,56,33
Croatia,2017-04-03 00:00:00+00:00,51,58.0,51,52,58,58,49,52,58
Cameroon,2017-04-03 00:00:00+00:00,40,53.0,31,58,68,50,57,54,53
Serbia,2017-04-03 00:00:00+00:00,50,32.0,52,56,32,44,44,56,44
Australia,2017-04-03 00:00:00+00:00,34,36.0,35,47,65,35,68,69,65
Switzerland,2017-04-03 00:00:00+00:00,62,51.0,52,59,59,43,51,45,52
Sweden,2017-04-03 00:00:00+00:00,49,55.0,45,43,64,37,42,59,52
Republic of Ireland,2017-04-03 00:00:00+00:00,45,49.0,48,40,50,50,40,40,40
Korea Republic,2017-04-03 00:00:00+00:00,50,77.0,49,43,77,66,44,43,66
Belgium,2017-04-03 00:00:00+00:00,41,55.0,38,36,33,46,58,56,50
United States,2017-04-03 00:00:00+00:00,51,32.0,46,54,49,36,54,63,43
Norway,2017-04-03 00:00:00+00:00,63,52.0,59,68,52,61,33,47,51
Paraguay,2017-04-03 00:00:00+00:00,33,52.0,52,33,32,48,33,45,50
Ukraine,2017-04-03 00:00:00+00:00,55,0.0,70,65,70,70,55,70,60
Poland,2017-04-03 00:00:00+00:00,55,51.0,35,36,47,56,37,56,51
Bulgaria,2017-04-03 00:00:00+00:00,54,52.0,54,62,63,33,48,34,45
Finland,2017-04-03 00:00:00+00:00,56,35.0,48,47,53,53,33,35,50
Scotland,2017-04-03 00:00:00+00:00,40,48.0,45,40,55,55,40,50,45
Romania,2017-04-03 00:00:00+00:00,55,45.0,50,45,65,35,40,45,50
Austria,2017-04-03 00:00:00+00:00,61,70.0,48,61,54,66,54,63,58
Wales,2017-04-03 00:00:00+00:00,60,33.0,44,53,46,40,48,53,63
Slovenia,2017-04-03 00:00:00+00:00,61,51.0,53,66,67,55,50,41,64
Ecuador,2017-04-03 00:00:00+00:00,50,69.0,64,65,50,50,35,45,35
Tunisia,2017-04-03 00:00:00+00:00,72,75.0,68,79,35,79,44,69,49
Northern Ireland,2017-04-03 00:00:00+00:00,57,51.0,55,50,45,62,40,50,60
Hungary,2017-04-03 00:00:00+00:00,61,47.0,53,62,62,39,47,45,65
China PR,2017-04-03 00:00:00+00:00,61,47.0,48,37,53,39,49,51,41
Netherlands,2017-04-03 00:00:00+00:00,45,29.0,37,55,52,39,48,50,52
Czech Republic,2017-04-03 00:00:00+00:00,47,51.0,50,53,56,52,47,44,66
South Africa,2017-04-03 00:00:00+00:00,39,68.0,37,51,66,57,55,45,47
New Zealand,2017-04-03 00:00:00+00:00,69,40.0,70,76,40,69,74,60,50
Côte d'Ivoire,2017-04-03 00:00:00+00:00,66,51.0,49,59,73,53,55,51,46
Chile,2017-04-03 00:00:00+00:00,64,49.0,38,63,42,64,59,65,53
Colombia,2017-04-03 00:00:00+00:00,50,68.0,49,50,50,65,45,55,50
Peru,2017-04-03 00:00:00+00:00,50,69.0,64,65,50,50,35,45,35
Egypt,2017-04-03 00:00:00+00:00,54,60.0,55,46,53,65,37,37,55
Venezuela,2017-04-03 00:00:00+00:00,32,50.0,33,32,38,32,33,44,37
Bolivia,2017-04-03 00:00:00+00:00,48,55.0,62,66,32,37,34,45,40
India,2017-04-03 00:00:00+00:00,35,49.0,51,53,36,55,33,37,37
Canada,2017-04-03 00:00:00+00:00,50,50.0,50,35,50,50,55,55,50
Saudi Arabia,2017-04-03 00:00:00+00:00,69,68.0,66,72,48,73,44,42,63
Iceland,2017-04-03 00:00:00+00:00,52,49.0,51,67,49,33,47,47,33
Morocco,2017-04-03 00:00:00+00:00,38,52.0,38,38,58,58,43,34,68
Senegal,2017-04-03 00:00:00+00:00,51,53.0,51,59,53,48,48,59,48
Japan,2017-04-03 00:00:00+00:00,70,65.0,69,61,65,80,66,55,35
Iran,2017-04-03 00:00:00+00:00,69,67.0,69,47,37,67,26,25,22
Costa Rica,2017-04-03 00:00:00+00:00,49,36.0,52,50,76,39,43,50,39
Panama,2017-04-03 00:00:00+00:00,49,31.0,50,37,31,47,74,71,61
Brazil,2017-03-30 00:00:00+00:00,62,70.0,48,57,42,54,61,37,42
England,2017-03-30 00:00:00+00:00,54,36.0,56,56,67,51,43,47,51
Italy,2017-03-30 00:00:00+00:00,52,30.0,54,42,60,42,34,44,34
Spain,2017-03-30 00:00:00+00:00,41,44.0,38,38,41,57,41,45,59
France,2017-03-30 00:00:00+00:00,52,59.0,36,49,57,52,52,55,52
Germany,2017-03-30 00:00:00+00:00,63,29.0,42,48,48,63,52,58,54
Argentina,2017-03-30 00:00:00+00:00,32,70.0,39,34,36,68,60,64,50
Portugal,2017-03-30 00:00:00+00:00,57,55.0,34,34,52,48,47,47,63
Turkey,2017-03-30 00:00:00+00:00,40,55.0,50,58,45,58,45,50,45
Nigeria,2017-03-30 00:00:00+00:00,68,75.0,71,79,55,74,58,75,65
Denmark,2017-03-30 00:00:00+00:00,55,48.0,56,46,58,50,66,55,57
Russia,2017-03-30 00:00:00+00:00,45,35.0,39,60,55,33,30,33,55
Mexico,2017-03-30 00:00:00+00:00,53,67.0,54,68,58,37,46,58,58
Uruguay,2017-03-30 00:00:00+00:00,36,52.0,55,51,34,37,44,56,38
Greece,2017-03-30 00:00:00+00:00,55,40.0,60,60,63,62,35,56,33
Croatia,2017-03-30 00:00:00+00:00,51,58.0,51,52,58,58,49,52,58
Cameroon,2017-03-30 00:00:00+00:00,40,53.0,31,58,68,50,57,54,53
Serbia,2017-03-30 00:00:00+00:00,50,32.0,52,56,32,44,44,56,44
Australia,2017-03-30 00:00:00+00:00,34,36.0,35,47,65,35,68,69,65
Switzerland,2017-03-30 00:00:00+00:00,62,51.0,52,59,59,43,51,45,52
Sweden,2017-03-30 00:00:00+00:00,49,55.0,45,43,64,37,42,59,52
Republic of Ireland,2017-03-30 00:00:00+00:00,45,49.0,48,40,50,50,40,40,40
Korea Republic,2017-03-30 00:00:00+00:00,50,77.0,49,43,77,66,44,43,66
Belgium,2017-03-30 00:00:00+00:00,41,55.0,38,36,33,46,58,56,50
United States,2017-03-30 00:00:00+00:00,51,32.0,46,54,49,36,54,63,43
Norway,2017-03-30 00:00:00+00:00,63,52.0,59,68,52,61,33,47,51
Paraguay,2017-03-30 00:00:00+00:00,33,52.0,52,33,32,48,33,45,50
Ukraine,2017-03-30 00:00:00+00:00,55,0.0,70,65,70,70,55,70,60
Poland,2017-03-30 00:00:00+00:00,55,51.0,35,36,47,56,37,56,51
Bulgaria,2017-03-30 00:00:00+00:00,54,52.0,54,62,63,33,48,34,45
Finland,2017-03-30 00:00:00+00:00,56,35.0,48,47,53,53,33,35,50
Scotland,2017-03-30 00:00:00+00:00,40,48.0,45,40,55,55,40,50,45
Romania,2017-03-30 00:00:00+00:00,55,45.0,50,45,65,35,40,45,50
Austria,2017-03-30 00:00:00+00:00,61,70.0,48,61,54,66,54,63,58
Wales,2017-03-30 00:00:00+00:00,60,33.0,44,53,46,40,48,53,63
Slovenia,2017-03-30 00:00:00+00:00,61,51.0,53,66,67,55,50,41,64
Ecuador,2017-03-30 00:00:00+00:00,50,69.0,64,65,50,50,35,45,35
Tunisia,2017-03-30 00:00:00+00:00,72,75.0,68,79,35,79,44,69,49
Northern Ireland,2017-03-30 00:00:00+00:00,57,51.0,55,50,45,62,40,50,60
Hungary,2017-03-30 00:00:00+00:00,61,47.0,53,62,62,39,47,45,65
China PR,2017-03-30 00:00:00+00:00,61,47.0,48,37,53,39,49,51,41
Netherlands,2017-03-30 00:00:00+00:00,45,29.0,37,55,52,39,48,50,52
Czech Republic,2017-03-30 00:00:00+00:00,47,51.0,50,53,56,52,47,44,66
South Africa,2017-03-30 00:00:00+00:00,39,68.0,37,51,66,57,55,45,47
New Zealand,2017-03-30 00:00:00+00:00,69,40.0,70,76,40,69,74,60,50
Côte d'Ivoire,2017-03-30 00:00:00+00:00,66,51.0,49,59,73,53,55,51,46
Chile,2017-03-30 00:00:00+00:00,64,49.0,38,63,42,64,59,65,53
Colombia,2017-03-30 00:00:00+00:00,50,68.0,49,50,50,65,45,55,50
Peru,2017-03-30 00:00:00+00:00,50,69.0,64,65,50,50,35,45,35
Egypt,2017-03-30 00:00:00+00:00,54,60.0,55,46,53,65,37,37,55
Venezuela,2017-03-30 00:00:00+00:00,32,50.0,33,32,38,32,33,44,37
Bolivia,2017-03-30 00:00:00+00:00,48,55.0,62,66,32,37,34,45,40
India,2017-03-30 00:00:00+00:00,35,49.0,51,53,36,55,33,37,37
Canada,2017-03-30 00:00:00+00:00,50,50.0,50,35,50,50,55,55,50
Saudi Arabia,2017-03-30 00:00:00+00:00,69,68.0,66,72,48,73,44,42,63
Iceland,2017-03-30 00:00:00+00:00,52,49.0,51,67,49,33,47,47,33
Morocco,2017-03-30 00:00:00+00:00,38,52.0,38,38,58,58,43,34,68
Senegal,2017-03-30 00:00:00+00:00,51,53.0,51,59,53,48,48,59,48
Japan,2017-03-30 00:00:00+00:00,70,65.0,69,61,65,80,66,55,35
Iran,2017-03-30 00:00:00+00:00,69,67.0,69,47,37,67,26,25,22
Costa Rica,2017-03-30 00:00:00+00:00,49,36.0,52,50,76,39,43,50,39
Panama,2017-03-30 00:00:00+00:00,49,31.0,50,37,31,47,74,71,61
Brazil,2017-03-27 00:00:00+00:00,62,70.0,48,57,42,54,61,37,42
England,2017-03-27 00:00:00+00:00,54,36.0,56,56,67,51,43,47,51
Italy,2017-03-27 00:00:00+00:00,52,30.0,54,42,60,42,34,44,34
Spain,2017-03-27 00:00:00+00:00,41,44.0,38,38,41,57,41,45,59
France,2017-03-27 00:00:00+00:00,52,59.0,36,49,57,52,52,55,52
Germany,2017-03-27 00:00:00+00:00,63,29.0,42,48,48,63,52,58,54
Argentina,2017-03-27 00:00:00+00:00,32,70.0,39,34,36,68,60,64,50
Portugal,2017-03-27 00:00:00+00:00,57,55.0,34,34,52,48,47,47,63
Turkey,2017-03-27 00:00:00+00:00,40,55.0,50,58,45,58,45,50,45
Nigeria,2017-03-27 00:00:00+00:00,68,75.0,71,79,55,74,58,75,65
Denmark,2017-03-27 00:00:00+00:00,55,48.0,56,46,58,50,66,55,57
Russia,2017-03-27 00:00:00+00:00,45,35.0,39,60,55,33,30,33,55
Mexico,2017-03-27 00:00:00+00:00,53,67.0,54,68,58,37,46,58,58
Uruguay,2017-03-27 00:00:00+00:00,36,52.0,55,51,34,37,44,56,38
Greece,2017-03-27 00:00:00+00:00,55,40.0,60,60,63,62,35,56,33
Croatia,2017-03-27 00:00:00+00:00,51,58.0,51,52,58,58,49,52,58
Cameroon,2017-03-27 00:00:00+00:00,40,53.0,31,58,68,50,57,54,53
Serbia,2017-03-27 00:00:00+00:00,50,32.0,52,56,32,44,44,56,44
Australia,2017-03-27 00:00:00+00:00,34,36.0,35,47,65,35,68,69,65
Switzerland,2017-03-27 00:00:00+00:00,62,51.0,52,59,59,43,51,45,52
Sweden,2017-03-27 00:00:00+00:00,49,55.0,45,43,64,37,42,59,52
Republic of Ireland,2017-03-27 00:00:00+00:00,45,49.0,48,40,50,50,40,40,40
Korea Republic,2017-03-27 00:00:00+00:00,50,77.0,49,43,77,66,44,43,66
Belgium,2017-03-27 00:00:00+00:00,41,55.0,38,36,33,46,58,56,50
United States,2017-03-27 00:00:00+00:00,51,32.0,46,54,49,36,54,63,43
Norway,2017-03-27 00:00:00+00:00,63,52.0,59,68,52,61,33,47,51
Paraguay,2017-03-27 00:00:00+00:00,33,52.0,52,33,32,48,33,45,50
Ukraine,2017-03-27 00:00:00+00:00,55,0.0,70,65,70,70,55,70,60
Poland,2017-03-27 00:00:00+00:00,55,51.0,35,36,47,56,37,56,51
Bulgaria,2017-03-27 00:00:00+00:00,54,52.0,54,62,63,33,48,34,45
Finland,2017-03-27 00:00:00+00:00,56,35.0,48,47,53,53,33,35,50
Scotland,2017-03-27 00:00:00+00:00,40,48.0,45,40,55,55,40,50,45
Romania,2017-03-27 00:00:00+00:00,55,45.0,50,45,65,35,40,45,50
Austria,2017-03-27 00:00:00+00:00,61,70.0,48,61,54,66,54,63,58
Wales,2017-03-27 00:00:00+00:00,60,33.0,44,53,46,40,48,53,63
Slovenia,2017-03-27 00:00:00+00:00,61,51.0,53,66,67,55,50,41,64
Ecuador,2017-03-27 00:00:00+00:00,50,69.0,64,65,50,50,35,45,35
Tunisia,2017-03-27 00:00:00+00:00,72,75.0,68,79,35,79,44,69,49
Northern Ireland,2017-03-27 00:00:00+00:00,57,51.0,55,50,45,62,40,50,60
Hungary,2017-03-27 00:00:00+00:00,61,47.0,53,62,62,39,47,45,65
China PR,2017-03-27 00:00:00+00:00,61,47.0,48,37,53,39,49,51,41
Netherlands,2017-03-27 00:00:00+00:00,45,29.0,37,55,52,39,48,50,52
Czech Republic,2017-03-27 00:00:00+00:00,47,51.0,50,53,56,52,47,44,66
South Africa,2017-03-27 00:00:00+00:00,39,68.0,37,51,66,57,55,45,47
New Zealand,2017-03-27 00:00:00+00:00,69,40.0,70,76,40,69,74,60,50
Côte d'Ivoire,2017-03-27 00:00:00+00:00,66,51.0,49,59,73,53,55,51,46
Chile,2017-03-27 00:00:00+00:00,64,49.0,38,63,42,64,59,65,53
Colombia,2017-03-27 00:00:00+00:00,50,68.0,49,50,50,65,45,55,50
Peru,2017-03-27 00:00:00+00:00,50,69.0,64,65,50,50,35,45,35
Egypt,2017-03-27 00:00:00+00:00,54,60.0,55,46,53,65,37,37,55
Venezuela,2017-03-27 00:00:00+00:00,32,50.0,33,32,38,32,33,44,37
Bolivia,2017-03-27 00:00:00+00:00,48,55.0,62,66,32,37,34,45,40
India,2017-03-27 00:00:00+00:00,35,49.0,51,53,36,55,33,37,37
Canada,2017-03-27 00:00:00+00:00,50,50.0,50,35,50,50,55,55,50
Saudi Arabia,2017-03-27 00:00:00+00:00,69,68.0,66,72,48,73,44,42,63
Iceland,2017-03-27 00:00:00+00:00,52,49.0,51,67,49,33,47,47,33
Morocco,2017-03-27 00:00:00+00:00,38,52.0,38,38,58,58,43,34,68
Senegal,2017-03-27 00:00:00+00:00,51,53.0,51,59,53,48,48,59,48
Japan,2017-03-27 00:00:00+00:00,70,65.0,69,61,65,80,66,55,35
Iran,2017-03-27 00:00:00+00:00,69,67.0,69,47,37,67,26,25,22
Costa Rica,2017-03-27 00:00:00+00:00,49,36.0,52,50,76,39,43,50,39
Panama,2017-03-27 00:00:00+00:00,49,31.0,50,37,31,47,74,71,61
Brazil,2017-03-23 00:00:00+00:00,62,70.0,48,57,42,54,61,37,42
England,2017-03-23 00:00:00+00:00,54,36.0,56,56,67,51,43,47,51
Italy,2017-03-23 00:00:00+00:00,52,30.0,54,42,60,42,34,44,34
Spain,2017-03-23 00:00:00+00:00,41,44.0,38,38,41,57,41,45,59
France,2017-03-23 00:00:00+00:00,52,59.0,36,49,57,52,52,55,52
Germany,2017-03-23 00:00:00+00:00,63,29.0,42,48,48,63,52,58,54
Argentina,2017-03-23 00:00:00+00:00,32,70.0,39,34,36,68,60,64,50
Portugal,2017-03-23 00:00:00+00:00,57,55.0,34,34,52,48,47,47,63
Turkey,2017-03-23 00:00:00+00:00,40,55.0,50,58,45,58,45,50,45
Nigeria,2017-03-23 00:00:00+00:00,68,75.0,71,79,55,74,58,75,65
Denmark,2017-03-23 00:00:00+00:00,55,48.0,56,46,58,50,66,55,57
Russia,2017-03-23 00:00:00+00:00,45,35.0,39,60,55,33,30,33,55
Mexico,2017-03-23 00:00:00+00:00,53,67.0,54,68,58,37,46,58,58
Uruguay,2017-03-23 00:00:00+00:00,36,52.0,55,51,34,37,44,56,38
Greece,2017-03-23 00:00:00+00:00,55,40.0,60,60,63,62,35,56,33
Croatia,2017-03-23 00:00:00+00:00,51,58.0,51,52,58,58,49,52,58
Cameroon,2017-03-23 00:00:00+00:00,40,53.0,31,58,68,50,57,54,53
Serbia,2017-03-23 00:00:00+00:00,50,32.0,52,56,32,44,44,56,44
Australia,2017-03-23 00:00:00+00:00,34,36.0,35,47,65,35,68,69,65
Switzerland,2017-03-23 00:00:00+00:00,62,51.0,52,59,59,43,51,45,52
Sweden,2017-03-23 00:00:00+00:00,49,55.0,45,43,64,37,42,59,52
Republic of Ireland,2017-03-23 00:00:00+00:00,45,49.0,48,40,50,50,40,40,40
Korea Republic,2017-03-23 00:00:00+00:00,50,77.0,49,43,77,66,44,43,66
Belgium,2017-03-23 00:00:00+00:00,41,55.0,38,36,33,46,58,56,50
United States,2017-03-23 00:00:00+00:00,51,32.0,46,54,49,36,54,63,43
Norway,2017-03-23 00:00:00+00:00,63,52.0,59,68,52,61,33,47,51
Paraguay,2017-03-23 00:00:00+00:00,33,52.0,52,33,32,48,33,45,50
Ukraine,2017-03-23 00:00:00+00:00,55,0.0,70,65,70,70,55,70,60
Poland,2017-03-23 00:00:00+00:00,55,51.0,35,36,47,56,37,56,51
Bulgaria,2017-03-23 00:00:00+00:00,54,52.0,54,62,63,33,48,34,45
Finland,2017-03-23 00:00:00+00:00,56,35.0,48,47,53,53,33,35,50
